SECTION,Sub-Section,Item,Details,Priority,Notes
,Automation Detail,Tool Options,"Hunter.io for contact finding / Google Custom Search API / Pitchbox or BuzzStream for outreach management",,
,Automation Detail,What to automate,Search for target queries → scrape top 50 results → extract domain info → find contact emails → output to prospect CSV,,
,,,,,
,Automation,4. Backlink Indexing Monitoring,"Use Google Search Console API or IndexNow to check if new backlinks are being indexed. Flag any that remain unindexed after 30 days.",MEDIUM,Saves 1-2 hours/week
,Automation Detail,Tool Options,"Google Search Console API / Bing Webmaster API / IndexNow protocol / Google 'site:domain.com' queries",,
,,,,,
,Automation,5. Email Follow-Up Sequences,"Set up automated follow-up sequences (3-touch) for outreach emails. First follow-up at day 3 / second at day 7 / third at day 14.",HIGH,"Saves 3-5 hours/week of manual follow-up tracking"
,Automation Detail,Tool Options,"Mailshake / Lemlist / GMass / Woodpecker — all support automated sequences with personalization",,
,,,,,
,Automation,6. Link Status Monitoring,"Weekly automated check of all live backlinks to detect removed/broken links. Alert if any high-value link is lost.",MEDIUM,Saves 1 hour/week
,Automation Detail,Tool Options,"Ahrefs Alerts (paid) / Python script with requests library to check HTTP status of all live link URLs / Monitor Backlinks",,
,,,,,
,Automation,7. HARO Query Monitoring,"AI-powered monitoring of HARO/Qwoted/Connectively for relevant journalist queries. Auto-alert when transport/moving/relocation queries appear.",MEDIUM,"Saves 30 min/day of manual checking"
,Automation Detail,Tool Options,"HARO email filter rules / Zapier webhook / custom script to parse HARO emails and flag relevant keywords",,
,,,,,
,TOTAL TIME SAVED,Weekly Estimate,"12-16 hours per week across both agents if all automations implemented",,That's equivalent to gaining a third part-time agent
,,,,,
SECTION 8 — BACKLINK TRACKING SYSTEM,,,,,
,System Design,Format,Google Sheets or CSV with the following fields,,Shared between both agents with daily updates
,,,,,
,TRACKING FIELDS,Field 1,Link # — Sequential ID for each backlink opportunity,,
,TRACKING FIELDS,Field 2,Website Domain — The referring domain,,
,TRACKING FIELDS,Field 3,Linking Page URL — Exact URL where the backlink lives,,
,TRACKING FIELDS,Field 4,Backlink Type — Directory / Niche Edit / Resource Page / Citation / Guest Post / Profile / Press Release,,
,TRACKING FIELDS,Field 5,Target Page URL — The Rapid Auto Shipping page being linked to,,
,TRACKING FIELDS,Field 6,Anchor Text — Exact anchor text used for the link,,
,TRACKING FIELDS,Field 7,Submission Date — Date the outreach/submission was made,,
,TRACKING FIELDS,Field 8,Status — Not Started / Outreach Sent / Follow-up 1 / Follow-up 2 / Accepted / Content Submitted / Live / Rejected / Lost,,
,TRACKING FIELDS,Field 9,Live Link URL — Actual URL once link is published,,
,TRACKING FIELDS,Field 10,Verification Date — Date the live link was manually verified,,
,TRACKING FIELDS,Field 11,Follow/Nofollow — dofollow or nofollow attribute,,
,TRACKING FIELDS,Field 12,DR/DA Score — Domain Rating or Authority of linking site,,
,TRACKING FIELDS,Field 13,Indexing Status — Indexed / Not Indexed / Pending,,
,TRACKING FIELDS,Field 14,Assigned To — Person A or Person B,,
,TRACKING FIELDS,Field 15,Tier — Tier 1 / Tier 2 / Tier 3,,
,TRACKING FIELDS,Field 16,Screenshot Taken — Yes/No — proof of link placement,,
,TRACKING FIELDS,Field 17,Notes — Any relevant context or follow-up details,,
,,,,,
,VERIFICATION PROCESS,Weekly Check,"Every Friday: visit all links marked 'Live'. Confirm anchor text / dofollow status / page still exists. Update indexing status via site: operator. Screenshot for records.",,
,VERIFICATION PROCESS,Monthly Audit,"First Monday of each month: full audit of all live links. Check for any lost/removed links. Report link velocity and growth trends.",,
,,,,,
SECTION 9 — REALISTIC RESULTS PROJECTIONS,,,,,
,MONTH 1-3 PROJECTION,,,,,
,3 Month,New Backlinks Acquired,40-65 total backlinks,,
,3 Month,Breakdown,"15-20 directory/citation links + 8-12 niche edits + 5-8 resource page links + 5-10 profile links + 3-5 press release links + 2-4 guest post placements",,
,3 Month,Quality Distribution,"30% DR 50+ / 40% DR 30-50 / 30% DR 15-30",,
,3 Month,Expected Ranking Impact,"Strike distance pages (position 5-15) move up 2-5 positions on average. 2-3 route pages break into page 1. Homepage keywords improve 3-5 positions.",,
,3 Month,Traffic Impact,"15-25% increase in organic clicks from current baseline of ~35/day",,From ~35 clicks/day to ~42-44 clicks/day
,3 Month,Pages Most Likely to Improve,"virginia-to-ohio (already pos 9.6) / pennsylvania-to-illinois (pos 6.8) / alabama-to-colorado (pos 10.5) / arizona-to-new-jersey (pos 10.5)",,These are closest to top 5 and need fewest links
,,,,,
,MONTH 4-6 PROJECTION,,,,,
,6 Month,Total Backlinks (Cumulative),90-140 total backlinks,,
,6 Month,New in Period,50-75 additional backlinks,,Pace increases as systems mature and automation kicks in
,6 Month,Expected Ranking Impact,"5-8 route pages ranking on page 1. Strike distance keywords move into top 5. 'car shipping companies' solidified in top 5. Homepage position improves from 33 to 20-25.",,
,6 Month,Traffic Impact,"40-60% increase from original baseline",,From ~35 clicks/day to ~50-55 clicks/day
,6 Month,Pages Most Likely to Improve,"california-to-michigan (from pos 16 to 8-12) / austin-to-seattle (from 14 to 7-10) / new-york-to-alabama (from 17 to 10-13) / alabama-to-texas (from 14 to 8-11)",,
,,,,,
,MONTH 7-12 PROJECTION,,,,,
,12 Month,Total Backlinks (Cumulative),180-280 total backlinks,,
,12 Month,Quality at Scale,"Niche edit pipeline mature. 5-8 per month. Directory exhaustion reached — focus shifts to resource pages and media mentions.",,
,12 Month,Expected Ranking Impact,"10-15 route pages on page 1. Multiple state pages ranking. Service pages like car-shipping-calculator start climbing. Homepage position 15-20.",,
,12 Month,Traffic Impact,"80-120% increase from original baseline",,From ~35 clicks/day to ~65-75 clicks/day
,12 Month,Revenue Impact,"At average auto transport lead value of $50-150 per conversion — additional 30-40 clicks/day with 3-5% conversion = 1-2 additional leads/day = $50-300/day additional revenue",,
,,,,,
,HONEST CAVEATS,Caveat 1,"Rankings are not guaranteed. Google's algorithm considers 200+ factors. Backlinks alone won't fix poor on-page SEO or technical issues.",,
,HONEST CAVEATS,Caveat 2,"Niche edits have a 5-10% conversion rate. Some months will produce 2 edits, others may produce 7. Average over time.",,
,HONEST CAVEATS,Caveat 3,"Competitor activity matters. If competitors increase their link building simultaneously, gains may be slower.",,
,HONEST CAVEATS,Caveat 4,"Google indexing delays mean some backlinks won't impact rankings for 4-8 weeks after placement.",,
,HONEST CAVEATS,Caveat 5,"The car-shipping-calculator page (50K impressions) is a long play. Moving from position 66 to page 1 requires significant authority building over 6-12 months.",,
,HONEST CAVEATS,Caveat 6,"Press releases provide short-term ranking signals. They should complement, not replace, editorial backlinks.",,
